Accession_#,Mapping_Order,Full_Name,Genus,Species,Origin,Location,Latitude,Longitude,Height_(ft),Sun_Exposure_(%),Distance_from_Road_(ft),Leaf_Accessibility,Gall_Presence,total_galls,Gall_Species_1,#_galls_1,Gall_Species_2,#_galls_2,Gall_Species_3,#_galls_3,Gall_Species_4,#_galls_4,Gall_Species_5,#_galls_5,Notes,Lichen_Presence,Blue FlavoCap_Log%,GreenFlavoCap_Log%,GrayFlavoCap_Log%,MintGreenLeafy_Log%,BrightGreenPowder_Log%,LightGreenPowder_Log%,GrayGreenPowder_Log%,GreyPowder_Log%,MintGreenPowder_Log%,NeonGreen_Log%,Physcia_Log%,WhitePhysciaPowder_Log%,BlueGreenSpeckled_Log%,GrayBlueCrust_Log%,Degrees_Measured
E13-24,6,Prunus serrulata 'Kanzan',Prunus,serrulata,Non-native,GWC,40.656539,-73.991764,26,50,0,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S13-14,17,Prunus serrulata 'Kanzan',Prunus,serrulata,Non-native,GWC,40.649421,-73.982656,34,100,50,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08-119,16,Prunus serrulata 'Kanzan',Prunus,serrulata,Non-native,GWC,40.649934,-73.984662,27,50,25,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10-20,9,Prunus serrulata 'Kanzan',Prunus,serrulata,Non-native,GWC,40.65748,-73.991733,22,75,0,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01-9,15,Prunus serrulata 'Kanzan',Prunus,serrulata,Non-native,GWC,40.646601,-73.991903,18,100,50,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12-5,7,Prunus serrulata 'Kanzan',Prunus,serrulata,Non-native,GWC,40.657522,-73.990582,26,75,0,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E28-50,1,Prunus serotina,Prunus,serotina,Native,GWC,40.653075,-73.986272,92,75,25,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E27-25,3,Prunus serotina,Prunus,serotina,Native,GWC,40.651784,-73.987658,69,25,25,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E26-152,19,Prunus serotina,Prunus,serotina,Native,GWC,40.652271,-73.985295,61,50,50,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E27-278,2,Prunus serotina,Prunus,serotina,Native,GWC,40.652406,-73.987263,48,50,50,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
W40-109,12,Prunus serotina,Prunus,serotina,Native,GWC,40.651994,-73.995888,55,25,50,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
W06-183,11,Prunus serotina,Prunus,serotina,Native,GWC,40.653612,-73.997067,31,50,50,medium,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
W35-197,13,Prunus serotina,Prunus,serotina,Native,GWC,40.649774,-73.995688,35,25,25,medium,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
W35-265,14,Prunus serotina,Prunus,serotina,Native,GWC,40.649172,-73.996158,31,50,25,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E26-215,18,Prunus serotina,Prunus,serotina,Native,GWC,40.651844,-73.986414,67,50,25,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E26-175,20,Prunus serotina,Prunus,serotina,Native,GWC,40.652095,-73.985724,68,50,50,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20140690*B,,Quercus_acutissima,Quercus,acutissima,Non-native,BBG,40.66380858,-73.96258961,30,75,25,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20140690*C,,Quercus_acutissima,Quercus,acutissima,Non-native,BBG,40.66376005,-73.96257892,31,75,25,medium,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160171*A,,Quercus_acutissima,Quercus,acutissima,Non-native,BBG,40.66385222,-73.96266464,28,50,25,medium,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
310002*A,,Quercus_acutissima,Quercus,acutissima,Non-native,BBG,40.66741988,-73.96419642,61,75,25,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
980496*A,,Quercus_acutissima,Quercus,acutissima,Non-native,BBG,40.66804164,-73.96196922,34,50,0,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
X02456*A,,Quercus_acutissima,Quercus,acutissima,Non-native,BBG,40.6717375,-73.9649619,40,75,0,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
X00874*A,,Quercus_castaneifolia,Quercus,castaneifolia,Non-native,BBG,40.66742494,-73.96435334,76,50,25,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
250002*A,,Quercus_cerris,Quercus,cerris,Non-native,BBG,40.66766961,-73.96439353,66,50,50,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
X00293*A,,Quercus_glandulifera var. brevipedunculata,Quercus,glandulifera var. brevipedunculata,Non-native,BBG,40.66667427,-73.96451812,55,50,25,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001434*A,,Quercus_libani,Quercus,libani,Non-native,BBG,40.66768062,-73.96427351,16,25,50,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20140734*A,,Quercus_myrsinifolia,Quercus,myrsinifolia,Non-native,BBG,40.6718139,-73.9652099,25,50,25,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
X00309*A,,Quercus_robur,Quercus,robur,Non-native,BBG,40.66739007,-73.96490823,116,75,50,medium,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
X01389*A,,Quercus_robur,Quercus,robur,Non-native,BBG,40.66924111,-73.96570327,110,100,25,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
120006*A,,Quercus_serrata,Quercus,serrata,Non-native,BBG,40.6673354,-73.96431872,54,50,25,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
X00089*A,1,Quercus_palustris,Quercus,palustris,Native,BBG,40.66769,-73.9632,74,50,50,medium,Y,62,Callirhytis_furva,58,Polystepha_pilulae,4,,,,,,,"Callirhytis furva was so numerous I counted leaves with galls, this one had 200+ galls",,,,,,,,,,,,,,,,
X00090*A,2,Quercus_palustris,Quercus,palustris,Native,BBG,40.66761,-73.9632,157,50,50,medium,Y,193,Callirhytis_furva,177,Polystepha_pilulae,16,,,,,,,Counted Leaves,,,,,,,,,,,,,,,,
20180242*A,3,Quercus_alba,Quercus,alba,Native,BBG,40.66713,-73.9643,21,100,0,medium,Y,1,,,,,,,Acraspis_pezomachoides,1,,,,,,,,,,,,,,,,,,,
X01512*A,4,Quercus_palustris,Quercus,palustris,Native,BBG,40.66435,-73.9625,63,75,50,high,Y,59,Callirhytis_furva,30,Polystepha_pilulae,22,Callirhytis_favosa,3,Macrodiplosis_majalis,2,Kokkocynips_difficilis,2,"Callirhytis furva counted leaves, Kokkocynips difficilis has not been ID'd on iNaturalist in NYC before!!",,,,,,,,,,,,,,,,
20170380*A,5,Quercus_alba,Quercus,alba,Native,BBG,40.66429,-73.9627,14,75,25,low,Y,10,,,Polystepha_pilulae,2,Callirhytis_quercusfutilis,5,Druon_quercusflocci,3,,,,,,,,,,,,,,,,,,,
20140674*A,6,Quercus_rubra,Quercus,rubra,Native,BBG,40.66417,-73.9625,32,50,0,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070243*B,7,Quercus_coccinea,Quercus,coccinea,Native,BBG,40.66899,-73.96493,42,75,0,low,Y,2,,,Polystepha_pilulae,2,,,,,,,Q. coccinea were difficult to see leaves on,,,,,,,,,,,,,,,,
20150145*A,8,Quercus_coccinea,Quercus,coccinea,Native,BBG,40.66922,-73.96487,28,75,0,low,N,0,,,,,,,,,,,Q. coccinea were difficult to see leaves on,,,,,,,,,,,,,,,,
X10205*A,9,Quercus_rubra,Quercus,rubra,Native,BBG,40.66988,-73.9664,20,50,50,medium,Y,11,,,Polystepha_pilulae,11,,,,,,,,,,,,,,,,,,,,,,,
160004*A,10,Quercus_rubra,Quercus,rubra,Native,BBG,40.67052,-73.9663,124,50,0,low,Y,23,,,Polystepha_pilulae,23,,,,,,,"Callirhytis furva counted leaves, galls were quite dark brown/red compared to other trees, but ID'd as same species",,,,,,,,,,,,,,,,
20040598*X,11,Quercus_coccinea,Quercus,coccinea,Native,BBG,40.66895,-73.96418,46,75,0,low,Y,10,Callirhytis_furva,10,,,,,,,,,,,,,,,,,,,,,,,,,
20070243*G,12,Quercus_coccinea,Quercus,coccinea,Native,BBG,40.66874,-73.96425,34,50,0,low,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
X01121*A,13,Quercus_palustris,Quercus,palustris,Native,BBG,40.67069,-73.9662,112,75,50,high,Y,63,,,Polystepha_pilulae,63,,,,,,,,,,,,,,,,,,,,,,,
X10563*A,14,Quercus_rubra,Quercus,rubra,Native,BBG,40.67087,-73.9661,47,50,50,high,Y,20,,,Polystepha_pilulae,20,,,,,,,,,,,,,,,,,,,,,,,
X10574*A,15,Quercus_rubra,Quercus,rubra,Native,BBG,40.67087,-73.9663,20,25,50,low,Y,9,,,Polystepha_pilulae,9,,,,,,,,,,,,,,,,,,,,,,,
